game_id,season,team,over,batter,batter_id,bowler,bowler_id,non_striker,non_striker_id,wides,noballs,legbyes,byes,player_out,player_out_id,fielders_name,fielders_id,wicket_type,runs_batter,runs_extras,runs_total,team_over,over_ball,inning,runs_cumulative,powerplay,wicket
1384597,2023,Luxembourg,18,Anoop Orsu,488b7e22,Noman Amjad,c079c66a,V Vijh,b857468a,0,0,0,0,,,,,,4,0,4,Luxembourg_18,1,1,4,0,0
660235,2013/14,Afghanistan,18,Shapoor Zadran,fccebff9,TJ Murtagh,c89474d1,Amir Hamza,dca1ac2e,0,0,0,0,Shapoor Zadran,fccebff9,,,bowled,0,0,0,Afghanistan_18,1,1,0,0,1
1394767,2023,Nepal,10,SR Magar,61c22ad0,RS Quyn,41721f6b,I Barma,521abce2,0,0,0,0,,,,,,1,0,1,Nepal_10,1,1,1,0,0
1176793,2018/19,Papua New Guinea,15,CJA Amini,4d84ad05,JW Chilia,479da8f9,A Vala,72e60730,0,0,0,0,,,,,,2,0,2,Papua New Guinea_15,1,1,2,0,0
439146,2010,West Indies,19,SJ Benn,364ee2cf,R McLaren,c654af19,KAJ Roach,78eb4223,0,0,0,0,SJ Benn,364ee2cf,HM Amla,e798611a,caught,0,0,0,West Indies_19,1,1,0,0,1
1244848,2020/21,South Africa,12,M du Preez,e219f17a,Nashra Sandhu,c981d3c2,S Luus,6d76bc23,0,0,0,0,,,,,,1,0,1,South Africa_12,1,1,1,0,0
1400985,2023/24,Rwanda,15,Muhammad Nadir,090f96e4,A Turay,11a22126,O Manishimwe,fb31ca49,0,0,0,0,,,,,,3,0,3,Rwanda_15,1,1,3,0,0
1182657,2019,Rwanda,19,A Uwimbabazi,ef27e290,NO Tindo,7f8316e3,A Ikuzwe,6762a445,0,0,0,0,,,,,,1,0,1,Rwanda_19,1,1,1,0,0
1197055,2019,Ireland,16,L Maritz,ac8bca8d,O Kamchomphu,519b872a,S MacMahon,ef2bcebf,0,0,0,0,L Maritz,ac8bca8d,N Koncharoenkai,82c78412,stumped,0,0,0,Ireland_16,1,1,0,0,1
1147718,2018,Scotland,6,KE Bryce,f13d3eba,I Nakisuuyi,2f145a4f,SJ Bryce,2ca65aee,0,0,0,0,,,,,,4,0,4,Scotland_6,1,1,4,0,0
1117821,2017/18,ICC World XI,19,DJG Sammy,c03c6200,Hasan Ali,2911de16,BCJ Cutting,2e11c706,0,0,0,0,,,,,,4,0,4,ICC World XI_19,1,1,4,0,0
1199516,2019/20,Nigeria,19,CM Akachukwu,e6581a17,D Heyliger,f8c72766,D Gim,3a1c34e6,0,0,0,0,,,,,,0,0,0,Nigeria_19,1,1,0,0,0
858491,2015,Bangladesh,16,Shakib Al Hasan,7dc35884,Saeed Ajmal,05d74535,Sabbir Rahman,7147f314,0,0,0,0,,,,,,4,0,4,Bangladesh_16,1,1,4,0,0
1307159,2022,Ireland,19,GH Dockrell,99cddc5e,Naveen-ul-Haq,c0c411cb,HT Tector,59ea70a4,0,0,0,0,,,,,,4,0,4,Ireland_19,1,1,4,0,0
1197246,2019,South Korea,19,Kang Choi,fe8d366a,M Yanagida,f20e7e23,Mina Baek,ce431658,0,0,0,0,Kang Choi,fe8d366a,,,run out,0,0,0,South Korea_19,1,1,0,0,1
1383075,2023,Jersey,19,EJB Miles,6b46ce43,G Stewart,a77472dc,JAD Lawrenson,c810b349,0,0,0,0,EJB Miles,6b46ce43,,,caught and bowled,0,0,0,Jersey_19,1,1,0,0,1
1378020,2023,Germany,19,S Sadarangani,acd030a0,IY Mckeon,59ff3c57,Rameesha Shahid,b810425e,0,0,0,0,,,,,,1,0,1,Germany_19,1,1,1,0,0
1332510,2022,Uganda,19,Riazat Ali Shah,269cc4ff,Akhil Anil,c06c25fd,D Muhumuza,7636b587,0,0,0,0,,,,,,2,0,2,Uganda_19,1,1,2,0,0
1422037,2023/24,Nepal,18,A Bohara,64fb6b15,R Trumpelmann,ff6a7ab5,Karan KC,f53b3e1d,0,0,0,0,A Bohara,64fb6b15,,,bowled,0,0,0,Nepal_18,1,1,0,0,1
1343740,2022/23,Rwanda,17,C Rububagumya,8088632c,R Nehonde,4393e047,D Ndikubwimana,3cbedf51,0,0,0,0,,,,,,4,0,4,Rwanda_17,1,1,4,0,0
1184266,2019,Uganda,15,Riazat Ali Shah,269cc4ff,JK Vifah,a1448a10,DM Nakrani,46a7ac78,0,0,0,0,,,,,,4,0,4,Uganda_15,1,1,4,0,0
1074957,2016/17,Hong Kong,19,Ehsan Khan,d3851cd8,BTJ Wheal,3f61a062,Waqas Barkat,a2eac9df,0,0,0,0,,,,,,4,0,4,Hong Kong_19,1,1,4,0,0
1399118,2023,Afghanistan,17,Gulbadin Naib,9f77963a,Aamer Jamal,a8e54ef4,Sharafuddin Ashraf,7e678d00,0,0,0,0,,,,,,4,0,4,Afghanistan_17,1,1,4,0,0
1158072,2018/19,West Indies,11,D Bishoo,7a80ddf2,LE Plunkett,9a963804,OC McCoy,529eb9e0,0,0,0,0,D Bishoo,7a80ddf2,SW Billings,c16d4035,caught,0,0,0,West Indies_11,1,1,0,0,1
1316643,2022,South Africa,14,A Bosch,dcf0e8f4,C Raack,28aba384,L Wolvaardt,e60f81c9,0,0,0,0,,,,,,4,0,4,South Africa_14,1,1,4,0,0
1284493,2021/22,Bahrain,6,Anasim Khan,e7353cbb,Mohamed Mahfooz,44f5a3e4,Ammad Uddin,3a6c6e3a,0,0,0,0,,,,,,6,0,6,Bahrain_6,1,1,6,0,0
1140993,2018,Ireland,12,WB Rankin,29b89ae8,Kuldeep Yadav,8d2c70ad,PKD Chase,8c2aa0f9,0,0,0,0,WB Rankin,29b89ae8,KD Karthik,c03f1114,stumped,0,0,0,Ireland_12,1,1,0,0,1
1393318,2023,Uganda,8,Bilal Hassun,1a9e9efe,E Niyomugabo,2dcac6ff,D Wabwire,a628a5c8,0,0,0,0,,,,,,4,0,4,Uganda_8,1,1,4,0,0
1343763,2022/23,Rwanda,2,O Tuyisenge,e6a6888f,MT Diaby,5d00cd6f,E Dusingizimana,c15e7ba4,0,0,0,0,,,,,,6,0,6,Rwanda_2,1,1,6,1,0
1268188,2021,Malta,16,N Khanna,0ec6a7c3,Khalid Ahmadi,cf0b9a0d,B Arora,39e9f0c9,0,0,0,0,,,,,,4,0,4,Malta_16,1,1,4,0,0
1338053,2022/23,India,19,RM Ghosh,721e0199,KH Sciver-Brunt,6a434bd3,P Vastrakar,8026ea72,0,0,0,0,,,,,,0,0,0,India_19,1,1,0,0,0
1150144,2018,Ireland,14,PKD Chase,8c2aa0f9,Rashid Khan,5f547c8b,J Little,9061a703,0,0,0,0,PKD Chase,8c2aa0f9,Mohammad Nabi,62af8546,caught,0,0,0,Ireland_14,1,1,0,0,1
1144990,2018/19,India,16,Kuldeep Yadav,8d2c70ad,MP Stoinis,d9273ee7,B Kumar,2e81a32d,0,0,0,0,,,,,,4,0,4,India_16,1,1,4,0,0
1197522,2019/20,Ireland,16,MR Adair,fc55ec67,Bilal Khan,dcdb87f2,CA Young,bd0a4a7d,0,0,0,0,MR Adair,fc55ec67,Jatinder Singh,b80dd12c,caught,0,0,0,Ireland_16,1,1,0,0,1
1343750,2022/23,Kenya,10,CO Obuya,5680f1ad,K Irakoze,9ccb6e52,IA Karim,ca92a578,0,0,0,0,,,,,,6,0,6,Kenya_10,1,1,6,0,0
1187020,2019/20,West Indies,19,SS Cottrell,a1d053dd,DL Chahar,23eeb873,KOK Williams,78cb83f3,0,0,0,0,,,,,,0,0,0,West Indies_19,1,1,0,0,0
1131240,2017/18,India,15,H Kaur,53cd8da6,A Hartley,53d50717,S Mandhana,5d2eda89,1,0,0,0,,,,,,0,1,1,India_15,1,1,1,0,0
1310186,2022,Hungary,19,A Kheterpal,2deb4082,S Davizi,5787be00,S Ashwathnarayana,8f8d30be,0,0,0,0,,,,,,0,0,0,Hungary_19,1,1,0,0,0
1273417,2021,West Indies,11,CN Nation,639000b6,D van Niekerk,8c5775f3,CA Henry,75820733,0,0,0,0,,,,,,2,0,2,West Indies_11,1,1,2,0,0
1357695,2022/23,United Arab Emirates,18,V Aravind,cddafe26,Azmatullah Omarzai,8f6dd463,CP Rizwan,e5309baa,0,0,0,0,,,,,,1,0,1,United Arab Emirates_18,1,1,1,0,0
683001,2013/14,South Africa,19,CL Tryon,4d4605e6,FL Mackay,7391f160,SA Fritz,d15e60c8,0,0,0,0,,,,,,4,0,4,South Africa_19,1,1,4,0,0
