game_id,season,team,over,batter,batter_id,bowler,bowler_id,non_striker,non_striker_id,wides,noballs,legbyes,byes,wicket,player_out,player_out_id,fielders_name,fielders_id,wicket_type,runs_batter,runs_extras,runs_total
1182906,2019,Indonesia,0,Y Anggraeni,acf8da70,M Tom,cebc1351,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,1,0,1
1182906,2019,Indonesia,0,K Winda Prastini,bd6f7c24,M Tom,cebc1351,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,0,K Winda Prastini,bd6f7c24,M Tom,cebc1351,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,0,K Winda Prastini,bd6f7c24,M Tom,cebc1351,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,0,K Winda Prastini,bd6f7c24,M Tom,cebc1351,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,0,K Winda Prastini,bd6f7c24,M Tom,cebc1351,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,1,Y Anggraeni,acf8da70,S Jimmy,2daa8e40,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,1,Y Anggraeni,acf8da70,S Jimmy,2daa8e40,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,1,0,1
1182906,2019,Indonesia,1,K Winda Prastini,bd6f7c24,S Jimmy,2daa8e40,Y Anggraeni,acf8da70,1,0,0,0,0,,,,,,0,1,1
1182906,2019,Indonesia,1,K Winda Prastini,bd6f7c24,S Jimmy,2daa8e40,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,1,K Winda Prastini,bd6f7c24,S Jimmy,2daa8e40,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,2,0,2
1182906,2019,Indonesia,1,K Winda Prastini,bd6f7c24,S Jimmy,2daa8e40,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,1,K Winda Prastini,bd6f7c24,S Jimmy,2daa8e40,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,2,Y Anggraeni,acf8da70,M Tom,cebc1351,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,2,Y Anggraeni,acf8da70,M Tom,cebc1351,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,2,Y Anggraeni,acf8da70,M Tom,cebc1351,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,2,Y Anggraeni,acf8da70,M Tom,cebc1351,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,1,0,1
1182906,2019,Indonesia,2,K Winda Prastini,bd6f7c24,M Tom,cebc1351,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,2,K Winda Prastini,bd6f7c24,M Tom,cebc1351,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,3,Y Anggraeni,acf8da70,S Jimmy,2daa8e40,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,3,Y Anggraeni,acf8da70,S Jimmy,2daa8e40,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,3,Y Anggraeni,acf8da70,S Jimmy,2daa8e40,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,3,Y Anggraeni,acf8da70,S Jimmy,2daa8e40,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,3,Y Anggraeni,acf8da70,S Jimmy,2daa8e40,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,4,0,4
1182906,2019,Indonesia,3,Y Anggraeni,acf8da70,S Jimmy,2daa8e40,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,4,K Winda Prastini,bd6f7c24,R Oa,dd468f06,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,1,0,1
1182906,2019,Indonesia,4,Y Anggraeni,acf8da70,R Oa,dd468f06,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,1,0,1
1182906,2019,Indonesia,4,K Winda Prastini,bd6f7c24,R Oa,dd468f06,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,1,0,1
1182906,2019,Indonesia,4,Y Anggraeni,acf8da70,R Oa,dd468f06,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,4,Y Anggraeni,acf8da70,R Oa,dd468f06,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,4,0,4
1182906,2019,Indonesia,4,Y Anggraeni,acf8da70,R Oa,dd468f06,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,1,0,1
1182906,2019,Indonesia,5,Y Anggraeni,acf8da70,NM Ambo,5aac4f00,K Winda Prastini,bd6f7c24,0,0,0,0,0,,,,,,1,0,1
1182906,2019,Indonesia,5,K Winda Prastini,bd6f7c24,NM Ambo,5aac4f00,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,0,0,0
1182906,2019,Indonesia,5,K Winda Prastini,bd6f7c24,NM Ambo,5aac4f00,Y Anggraeni,acf8da70,0,0,0,0,0,,,,,,0,0,0
